material,Takeda 5A
material_batch,Test
temperature,77.355
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_mode,absolute
pressure_unit,bar
loading_basis,molar
loading_unit,mmol
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
 1.8847540944e-07,       0.510281
 4.4981502356e-07,       1.02256
 1.05895977469e-06,      1.54166
 2.36080023165e-06,      2.05975
 4.93533546369e-06,      2.58003
 9.34604865367e-06,      3.09167
 1.65158863942e-05,      3.60649
 2.81741591431e-05,      4.12025
 4.6050177358e-05,       4.63325
 7.33499660449e-05,      5.14278
 0.000116582727489,      5.65215
 0.000189446932169,      6.15738
 0.000316512389904,      6.66319
 0.000546133729966,      7.15274
 0.000963054936966,      7.62057
 0.00167105795491,       8.05205
 0.00277661195969,       8.44275
 0.00430658538389,       8.78956
 0.00619833444193,       9.08882
 0.00814150619803,       9.32422
 0.010614565881,         9.5693
 0.0132150407699,        9.79498
 0.0161300947185,        9.9955
 0.0192383845379,        10.1831
 0.0224495586143,        10.3557
 0.0258139418251,        10.5129
 0.0292655677769,        10.6629
 0.0328162890471,        10.8033
 0.0364202497629,        10.9343
 0.0401363242016,        11.06
 0.0438943684222,        11.1801
 0.047788814434,         11.2928
 0.0517277561867,        11.4013
 0.0557435453873,        11.5028
 0.0597569057811,        11.5983
 0.064911222468,         11.7107
 0.069073128687,         11.7963
 0.0732345491447,        11.8788
 0.0774738857253,        11.9577
 0.0817466426878,        12.0313
 0.086115094639,         12.1002
 0.0902110344648,        12.1613
 0.0946098950775,        12.2246
 0.0991701256155,        12.2852
 0.103614842101,         12.3437
 0.108132422791,         12.4002
 0.112658747186,         12.4529
 0.117141353058,         12.5027
 0.121590927157,         12.5475
 0.126230919711,         12.5949
 0.130771816947,         12.6388
 0.135308828092,         12.681
 0.139990596123,         12.7223
 0.144522749654,         12.7607
 0.149212289867,         12.7992
 0.153960121444,         12.836
 0.158594284862,         12.8696
 0.16333531578,  12.9049
 0.168058859289,         12.9384
 0.172777545184,         12.9696
 0.177565209193,         13.0023
 0.182422822838,         13.0334
 0.187118192187,         13.0629
 0.191915571424,         13.0919
 0.213155001327,         13.2158
 0.241476831925,         13.3651
 0.265150897787,         13.4841
 0.290940940153,         13.6067
 0.314674268901,         13.7151
 0.338111283217,         13.8216
 0.362102065489,         13.9263
 0.387371371672,         14.0421
 0.410529558965,         14.143
 0.433964630236,         14.2464
 0.460477485512,         14.3602
 0.482466930962,         14.4518
 0.509072080897,         14.5627
 0.533579713261,         14.6608
 0.557532606146,         14.7558
 0.58091521519,  14.8492
 0.606217553146,         14.9507
 0.628509142164,         15.041
 0.654752885645,         15.15
 0.679083700871,         15.2549
 0.703599105417,         15.3607
 0.727623890984,         15.4721
 0.751900300938,         15.5858
 0.776215571801,         15.7056
 0.800709602847,         15.8379
 0.824908290982,         15.9799
 0.849040915573,         16.1418
 0.873265834822,         16.3459
 0.897475209708,         16.644
 0.920860733319,         17.1561
 0.941237451039,         18.2209
 0.958790923708,         21.5865
 0.942249777722,         19.4276
 0.917552698427,         17.4274
 0.880262741517,         16.5296
 0.850050327688,         16.2158
 0.82500350021,  16.0344
 0.798097178228,         15.8695
 0.753942441715,         15.637
 0.728259266849,         15.5158
 0.702605237665,         15.397
 0.678571708393,         15.2912
 0.65424575078,  15.1899
 0.630456073713,         15.0924
 0.606683884056,         14.998
 0.583124457876,         14.9039
 0.556783562122,         14.7978
 0.533547653011,         14.7014
 0.508475565942,         14.5952
 0.484541131988,         14.494
 0.460827233694,         14.3845
 0.436125296785,         14.2756
 0.412060678786,         14.1674
 0.388038807787,         14.0628
 0.364459951152,         13.9567
 0.339726925516,         13.8483
 0.316000397426,         13.7393
 0.291396584312,         13.6245
 0.267212469018,         13.5068
 0.243625840201,         13.3864
 0.219543734793,         13.2595
 0.195448999589,         13.1205
 0.171732186727,         12.9696
 0.147816211706,         12.7927
 0.124366567594,         12.582
 0.1028453961,   12.3371
 0.0884312048252,        12.1382
 0.086115094639,         12.1002
 0.0817466426878,        12.0313
 0.0774738857253,        11.9577
 0.0732345491447,        11.8788
 0.069073128687,         11.7963
 0.064911222468,         11.7107
 0.0597569057811,        11.5983
 0.0557435453873,        11.5028
 0.0517277561867,        11.4013
 0.047788814434,         11.2928
 0.0438943684222,        11.1801
 0.0401363242016,        11.06
 0.0364202497629,        10.9343
 0.0328162890471,        10.8033
 0.0292655677769,        10.6629
 0.0258139418251,        10.5129
 0.0224495586143,        10.3557
 0.0192383845379,        10.1831
 0.0161300947185,        9.9955
 0.0132150407699,        9.79498
 0.010614565881,         9.5693
 0.00814150619803,       9.32422
 0.00619833444193,       9.08882
 0.00430658538389,       8.78956
 0.00277661195969,       8.44275
 0.00167105795491,       8.05205
 0.000963054936966,      7.62057
 0.000546133729966,      7.15274
 0.000316512389904,      6.66319
 0.000189446932169,      6.15738
 0.000116582727489,      5.65215
 7.33499660449e-05,      5.14278
 4.6050177358e-05,       4.63325
 2.81741591431e-05,      4.12025
 1.65158863942e-05,      3.60649
 9.34604865367e-06,      3.09167
 4.93533546369e-06,      2.58003
 2.36080023165e-06,      2.05975
 1.05895977469e-06,      1.54166
 4.4981502356e-07,       1.02256
 1.8847540944e-07,       0.510281